latitudeRange	longitudeRange	timePeriod	speciescount	bincount	occurrenceount	item_001	item_002	item_003	item_004	item_005	item_006	item_007	item_008	item_009	item_010	item_011	item_012	item_013	item_014	item_015	item_016	item_017	item_018	item_019	item_020	item_021	item_022	item_023	item_024	item_025	item_026	item_027	item_028	item_029	item_030	item_031	item_032	item_033	item_034	item_035	item_036	item_037	item_038	item_039	item_040	item_041	item_042	item_043	item_044	item_045	item_046	item_047	item_048	item_049	item_050	item_051	item_052	item_053	item_054	item_055	item_056	item_057	item_058	item_059	item_060	item_061	item_062	item_063	item_064	item_065	item_066	item_067	item_068	item_069	item_070	item_071	item_072	item_073	item_074	item_075	item_076	item_077	item_078	item_079	item_080	item_081	item_082	item_083	item_084	item_085	item_086	item_087	item_088	item_089	item_090	item_091	item_092	item_093	item_094	item_095	item_096	item_097	item_098	item_099	item_100	item_101	item_102	item_103	item_104	item_105	item_106	item_107	item_108	item_109	item_110	item_111	item_112	item_113	item_114	item_115
-43.0,-42.0	+146.0,+147.0	1900-1969	9	40	65	Acacia mucronata Willd. ex H.L.Wendl. [ 16 / 26 ]	Acacia verticillata [ 7 / 11 ]	Acacia melanoxylon R.Br. [ 5 / 5 ]	Acacia leprosa Sieber ex DC. [ 4 / 15 ]	Acacia riceana Hensl. [ 3 / 3 ]	Acacia derwentiana A.M.Gray [ 2 / 2 ]	Acacia gunnii Benth. [ 1 / 1 ]	Acacia stricta (Andrews) Willd. [ 1 / 1 ]	Acacia terminalis (Salisb.) J.F.Macbr. [ 1 / 1 ]
-43.0,-42.0	+146.0,+147.0	1970-1999	11	64	114	Acacia derwentiana A.M.Gray [ 15 / 32 ]	Acacia mucronata Willd. ex H.L.Wendl. [ 15 / 27 ]	Acacia riceana Hensl. [ 10 / 21 ]	Acacia dealbata Link [ 6 / 8 ]	Acacia axillaris Benth. [ 4 / 9 ]	Acacia siculiformis A.Cunn. ex Benth. [ 4 / 4 ]	Acacia melanoxylon R.Br. [ 3 / 3 ]	Acacia verticillata [ 3 / 6 ]	Acacia browniana H.L.Wendl. [ 2 / 2 ]	Acacia leprosa Sieber ex DC. [ 1 / 1 ]	Acacia stricta (Andrews) Willd. [ 1 / 1 ]
-43.0,-42.0	+146.0,+147.0	2000-2017	9	36	52	Acacia derwentiana A.M.Gray [ 13 / 17 ]	Acacia dealbata Link [ 6 / 11 ]	Acacia mucronata Willd. ex H.L.Wendl. [ 6 / 8 ]	Acacia melanoxylon R.Br. [ 3 / 6 ]	Acacia verticillata [ 3 / 3 ]	Acacia pravissima F.Muell. [ 2 / 3 ]	Acacia mearnsii De Wild. [ 1 / 1 ]	Acacia riceana Hensl. [ 1 / 1 ]	Acacia siculiformis A.Cunn. ex Benth. [ 1 / 2 ]
-43.0,-42.0	+147.0,+148.0	UNSPECIFIED	14	29	232	Acacia genistifolia Link [ 7 / 33 ]	Acacia myrtifolia (Sm.) Willd. [ 3 / 44 ]	Acacia riceana Hensl. [ 3 / 6 ]	Acacia dealbata Link [ 2 / 51 ]	Acacia gunnii Benth. [ 2 / 6 ]	Acacia leprosa Sieber ex DC. [ 2 / 74 ]	Acacia siculiformis A.Cunn. ex Benth. [ 2 / 2 ]	Acacia verticillata [ 2 / 2 ]	Acacia longifolia (Andrews) Willd. [ 1 / 1 ]	Acacia mearnsii De Wild. [ 1 / 8 ]	Acacia melanoxylon R.Br. [ 1 / 1 ]	Acacia mucronata Willd. ex H.L.Wendl. [ 1 / 1 ]	Acacia paradoxa DC. [ 1 / 1 ]	Acacia ulicifolia (Salisb.) Court [ 1 / 2 ]
-43.0,-42.0	+147.0,+148.0	1500-1899	13	38	60	Acacia verticillata [ 7 / 8 ]	Acacia genistifolia Link [ 5 / 9 ]	Acacia dealbata Link [ 4 / 8 ]	Acacia gunnii Benth. [ 3 / 8 ]	Acacia leprosa Sieber ex DC. [ 3 / 10 ]	Acacia myrtifolia (Sm.) Willd. [ 3 / 3 ]	Acacia suaveolens (Sm.) Willd. [ 3 / 4 ]	Acacia derwentiana A.M.Gray [ 2 / 2 ]	Acacia mearnsii De Wild. [ 2 / 2 ]	Acacia riceana Hensl. [ 2 / 2 ]	Acacia stricta (Andrews) Willd. [ 2 / 2 ]	Acacia binervata DC. [ 1 / 1 ]	Acacia longifolia (Andrews) Willd. [ 1 / 1 ]
-43.0,-42.0	+147.0,+148.0	1900-1969	17	168	283	Acacia genistifolia Link [ 30 / 59 ]	Acacia verticillata [ 15 / 20 ]	Acacia myrtifolia (Sm.) Willd. [ 13 / 22 ]	Acacia dealbata Link [ 12 / 26 ]	Acacia mearnsii De Wild. [ 12 / 15 ]	Acacia melanoxylon R.Br. [ 12 / 20 ]	Acacia riceana Hensl. [ 12 / 14 ]	Acacia leprosa Sieber ex DC. [ 11 / 23 ]	Acacia stricta (Andrews) Willd. [ 11 / 18 ]	Acacia gunnii Benth. [ 10 / 19 ]	Acacia mucronata Willd. ex H.L.Wendl. [ 9 / 16 ]	Acacia suaveolens (Sm.) Willd. [ 6 / 6 ]	Acacia terminalis (Salisb.) J.F.Macbr. [ 6 / 12 ]	Acacia longifolia (Andrews) Willd. [ 5 / 7 ]	Acacia paradoxa DC. [ 2 / 2 ]	Acacia decurrens Willd. [ 1 / 3 ]	Acacia derwentiana A.M.Gray [ 1 / 1 ]
-43.0,-42.0	+147.0,+148.0	1970-1999	24	154	263	Acacia riceana Hensl. [ 21 / 34 ]	Acacia genistifolia Link [ 20 / 43 ]	Acacia dealbata Link [ 13 / 19 ]	Acacia melanoxylon R.Br. [ 11 / 17 ]	Acacia verticillata [ 11 / 20 ]	Acacia myrtifolia (Sm.) Willd. [ 10 / 11 ]	Acacia gunnii Benth. [ 9 / 13 ]	Acacia mearnsii De Wild. [ 9 / 16 ]	Acacia mucronata Willd. ex H.L.Wendl. [ 9 / 16 ]	Acacia leprosa Sieber ex DC. [ 7 / 12 ]	Acacia terminalis (Salisb.) J.F.Macbr. [ 6 / 6 ]	Acacia derwentiana A.M.Gray [ 4 / 6 ]	Acacia siculiformis A.Cunn. ex Benth. [ 4 / 6 ]	Acacia stricta (Andrews) Willd. [ 4 / 4 ]	Acacia suaveolens (Sm.) Willd. [ 4 / 21 ]	Acacia pycnantha Benth. [ 3 / 3 ]	Acacia pravissima F.Muell. [ 2 / 2 ]	Acacia axillaris Benth. [ 1 / 1 ]	Acacia floribunda (Vent.) Willd. [ 1 / 8 ]	Acacia howittii F.Muell. [ 1 / 1 ]	Acacia iteaphylla F.Muell. ex Benth. [ 1 / 1 ]	Acacia pataczekii D.I.Morris [ 1 / 1 ]	Acacia provincialis A.Camus [ 1 / 1 ]	Acacia retinodes Schltdl. [ 1 / 1 ]
-43.0,-42.0	+147.0,+148.0	2000-2017	31	104	148	Acacia gunnii Benth. [ 12 / 12 ]	Acacia dealbata Link [ 9 / 11 ]	Acacia longifolia (Andrews) Willd. [ 7 / 12 ]	Acacia mearnsii De Wild. [ 7 / 11 ]	Acacia mucronata Willd. ex H.L.Wendl. [ 7 / 10 ]	Acacia siculiformis A.Cunn. ex Benth. [ 6 / 6 ]	Acacia melanoxylon R.Br. [ 5 / 12 ]	Acacia riceana Hensl. [ 5 / 6 ]	Acacia decurrens Willd. [ 4 / 6 ]	Acacia genistifolia Link [ 4 / 10 ]	Acacia leprosa Sieber ex DC. [ 4 / 6 ]	Acacia retinodes Schltdl. [ 4 / 7 ]	Acacia howittii F.Muell. [ 3 / 3 ]	Acacia pycnantha Benth. [ 3 / 4 ]	Acacia stricta (Andrews) Willd. [ 3 / 5 ]	Acacia baileyana F.Muell. [ 2 / 2 ]	Acacia boormanii Maiden [ 2 / 2 ]	Acacia myrtifolia (Sm.) Willd. [ 2 / 3 ]	Acacia pravissima F.Muell. [ 2 / 2 ]	Acacia verticillata [ 2 / 2 ]	Acacia derwentiana A.M.Gray [ 1 / 2 ]	Acacia floribunda (Vent.) Willd. [ 1 / 1 ]	Acacia iteaphylla F.Muell. ex Benth. [ 1 / 1 ]	Acacia paradoxa DC. [ 1 / 1 ]	Acacia pataczekii D.I.Morris [ 1 / 1 ]	Acacia provincialis A.Camus [ 1 / 1 ]	Acacia rubida A.Cunn. [ 1 / 2 ]	Acacia suaveolens (Sm.) Willd. [ 1 / 1 ]	Acacia truncata [ 1 / 1 ]	Acacia ulicifolia (Salisb.) Court [ 1 / 1 ]	Acacia uncifolia (J.M.Black) O'Leary [ 1 / 4 ]
-43.0,-42.0	+148.0,+149.0	UNSPECIFIED	8	9	25	Acacia mucronata Willd. ex H.L.Wendl. [ 2 / 5 ]	Acacia dealbata Link [ 1 / 3 ]	Acacia genistifolia Link [ 1 / 7 ]	Acacia gunnii Benth. [ 1 / 2 ]	Acacia mearnsii De Wild. [ 1 / 3 ]	Acacia stricta (Andrews) Willd. [ 1 / 3 ]	Acacia suaveolens (Sm.) Willd. [ 1 / 1 ]	Acacia verticillata [ 1 / 1 ]
-43.0,-42.0	+148.0,+149.0	1500-1899	2	2	2	Acacia dealbata Link [ 1 / 1 ]	Acacia verticillata [ 1 / 1 ]
